Date;Certified_Stocks
;Close
05.11.2020;1160439
04.11.2020;1152585
03.11.2020;1152585
02.11.2020;1152585
30.10.2020;1148725
29.10.2020;1149043
28.10.2020;1146813
27.10.2020;1141334
26.10.2020;1128560
23.10.2020;1129030
22.10.2020;1131030
21.10.2020;1127470
20.10.2020;1123898
19.10.2020;1119923
16.10.2020;1119923
15.10.2020;1116042
14.10.2020;1107170
13.10.2020;1099630
12.10.2020;1099665
09.10.2020;1098459
08.10.2020;1098459
07.10.2020;1096559
06.10.2020;1097998
05.10.2020;1096224
02.10.2020;1096224
01.10.2020;1098464
29.09.2020;1099928
28.09.2020;1101886
25.09.2020;1102436
24.09.2020;1103566
23.09.2020;1104688
22.09.2020;1105788
21.09.2020;1108791
18.09.2020;1109341
17.09.2020;1116966
16.09.2020;1116966
15.09.2020;1116921
14.09.2020;1117471
11.09.2020;1117401
10.09.2020;1133161
09.09.2020;1152058
08.09.2020;1180139
04.09.2020;1180389
03.09.2020;1192429
02.09.2020;1210011
01.09.2020;1231742
31.08.2020;1233666
28.08.2020;1272404
27.08.2020;1287647
26.08.2020;1307150
25.08.2020;1307523
24.08.2020;1318444
